link,name
https://bioweb.lnu.edu.ua,Біологічний факультет
https://geography.lnu.edu.ua,Географічний факультет
https://geology.lnu.edu.ua,Геологічний факультет
https://econom.lnu.edu.ua,Економічний факультет
https://electronics.lnu.edu.ua,Факультет електроніки та комп’ютерних технологій
https://journ.lnu.edu.ua,Факультет журналістики
https://lingua.lnu.edu.ua,Факультет іноземних мов
https://clio.lnu.edu.ua,Історичний факультет
https://kultart.lnu.edu.ua,Факультет культури і мистецтв
https://new.mmf.lnu.edu.ua,Механіко-математичний факультет
https://intrel.lnu.edu.ua,Факультет міжнародних відносин
https://pedagogy.lnu.edu.ua,Факультет педагогічної освіти
https://ami.lnu.edu.ua,Факультет прикладної математики та інформатики
https://financial.lnu.edu.ua,Факультет управління фінансами та бізнесу
https://physics.lnu.edu.ua,Фізичний факультет
https://philology.lnu.edu.ua,Філологічний факультет
https://filos.lnu.edu.ua,Філософський факультет
https://chem.lnu.edu.ua,Хімічний факультет
https://law.lnu.edu.ua,Юридичний факультет
